index,data_0,tag_0
2011-01-01,985,2
2011-01-02,801,2
2011-01-03,1349,1
2011-01-04,1562,1
2011-01-05,1600,1
2011-01-06,1606,1
2011-01-07,1510,2
2011-01-08,959,2
2011-01-09,822,1
2011-01-10,1321,1
2011-01-11,1263,2
2011-01-12,1162,1
2011-01-13,1406,1
2011-01-14,1421,1
2011-01-15,1248,2
2011-01-16,1204,1
2011-01-17,1000,2
2011-01-18,683,2
2011-01-19,1650,2
2011-01-20,1927,2
2011-01-21,1543,1
2011-01-22,981,1
2011-01-23,986,1
2011-01-24,1416,1
2011-01-25,1985,2
2011-01-26,506,3
2011-01-27,431,1
2011-01-28,1167,2
2011-01-29,1098,1
2011-01-30,1096,1
2011-01-31,1501,2
2011-02-01,1360,2
2011-02-02,1526,2
2011-02-03,1550,1
2011-02-04,1708,2
2011-02-05,1005,2
2011-02-06,1623,1
2011-02-07,1712,1
2011-02-08,1530,1
2011-02-09,1605,2
2011-02-10,1538,1
2011-02-11,1746,1
2011-02-12,1472,1
2011-02-13,1589,1
2011-02-14,1913,1
2011-02-15,1815,1
2011-02-16,2115,1
2011-02-17,2475,1
2011-02-18,2927,1
2011-02-19,1635,1
2011-02-20,1812,1
2011-02-21,1107,2
2011-02-22,1450,1
2011-02-23,1917,1
2011-02-24,1807,2
2011-02-25,1461,2
2011-02-26,1969,1
2011-02-27,2402,1
2011-02-28,1446,2
2011-03-01,1851,1
2011-03-02,2134,1
2011-03-03,1685,1
2011-03-04,1944,2
2011-03-05,2077,2
2011-03-06,605,2
2011-03-07,1872,1
2011-03-08,2133,1
2011-03-09,1891,2
2011-03-10,623,3
2011-03-11,1977,2
2011-03-12,2132,1
2011-03-13,2417,1
2011-03-14,2046,1
2011-03-15,2056,2
2011-03-16,2192,2
2011-03-17,2744,1
2011-03-18,3239,1
2011-03-19,3117,1
2011-03-20,2471,1
2011-03-21,2077,2
2011-03-22,2703,1
2011-03-23,2121,2
2011-03-24,1865,2
2011-03-25,2210,1
2011-03-26,2496,1
2011-03-27,1693,2
2011-03-28,2028,1
2011-03-29,2425,1
2011-03-30,1536,2
2011-03-31,1685,3
2011-04-01,2227,2
2011-04-02,2252,2
2011-04-03,3249,1
2011-04-04,3115,1
2011-04-05,1795,2
2011-04-06,2808,1
2011-04-07,3141,1
2011-04-08,1471,2
2011-04-09,2455,2
2011-04-10,2895,2
2011-04-11,3348,2
2011-04-12,2034,2
2011-04-13,2162,2
2011-04-14,3267,1
2011-04-15,3126,1
2011-04-16,795,3
2011-04-17,3744,1
2011-04-18,3429,1
2011-04-19,3204,2
2011-04-20,3944,1
2011-04-21,4189,1
2011-04-22,1683,2
2011-04-23,4036,2
2011-04-24,4191,2
2011-04-25,4073,1
2011-04-26,4400,1
2011-04-27,3872,2
2011-04-28,4058,2
2011-04-29,4595,1
2011-04-30,5312,1
2011-05-01,3351,2
2011-05-02,4401,2
2011-05-03,4451,2
2011-05-04,2633,2
2011-05-05,4433,1
2011-05-06,4608,1
2011-05-07,4714,1
2011-05-08,4333,1
2011-05-09,4362,1
2011-05-10,4803,1
2011-05-11,4182,1
2011-05-12,4864,1
2011-05-13,4105,2
2011-05-14,3409,2
2011-05-15,4553,2
2011-05-16,3958,1
2011-05-17,4123,2
2011-05-18,3855,2
2011-05-19,4575,2
2011-05-20,4917,1
2011-05-21,5805,1
2011-05-22,4660,1
2011-05-23,4274,2
2011-05-24,4492,2
2011-05-25,4978,1
2011-05-26,4677,1
2011-05-27,4679,1
2011-05-28,4758,1
2011-05-29,4788,1
2011-05-30,4098,1
2011-05-31,3982,1
2011-06-01,3974,2
2011-06-02,4968,1
2011-06-03,5312,1
2011-06-04,5342,1
2011-06-05,4906,2
2011-06-06,4548,1
2011-06-07,4833,1
2011-06-08,4401,1
2011-06-09,3915,2
2011-06-10,4586,1
2011-06-11,4966,1
2011-06-12,4460,1
2011-06-13,5020,1
2011-06-14,4891,1
2011-06-15,5180,1
2011-06-16,3767,2
2011-06-17,4844,1
2011-06-18,5119,1
2011-06-19,4744,2
2011-06-20,4010,2
2011-06-21,4835,2
2011-06-22,4507,1
2011-06-23,4790,2
2011-06-24,4991,1
2011-06-25,5202,1
2011-06-26,5305,1
2011-06-27,4708,2
2011-06-28,4648,1
2011-06-29,5225,1
2011-06-30,5515,1
2011-07-01,5362,1
2011-07-02,5119,1
2011-07-03,4649,2
2011-07-04,6043,2
2011-07-05,4665,1
2011-07-06,4629,1
2011-07-07,4592,1
2011-07-08,4040,2
2011-07-09,5336,1
2011-07-10,4881,1
2011-07-11,4086,1
2011-07-12,4258,1
2011-07-13,4342,1
2011-07-14,5084,1
2011-07-15,5538,1
2011-07-16,5923,1
2011-07-17,5302,1
2011-07-18,4458,1
2011-07-19,4541,1
2011-07-20,4332,1
2011-07-21,3784,2
2011-07-22,3387,1
2011-07-23,3285,1
2011-07-24,3606,1
2011-07-25,3840,1
2011-07-26,4590,1
2011-07-27,4656,1
2011-07-28,4390,1
2011-07-29,3846,1
2011-07-30,4475,1
2011-07-31,4302,1
2011-08-01,4266,1
2011-08-02,4845,1
2011-08-03,3574,2
2011-08-04,4576,2
2011-08-05,4866,1
2011-08-06,4294,2
2011-08-07,3785,1
2011-08-08,4326,1
2011-08-09,4602,1
2011-08-10,4780,1
2011-08-11,4792,1
2011-08-12,4905,1
2011-08-13,4150,2
2011-08-14,3820,2
2011-08-15,4338,1
2011-08-16,4725,1
2011-08-17,4694,1
2011-08-18,3805,1
2011-08-19,4153,2
2011-08-20,5191,1
2011-08-21,3873,1
2011-08-22,4758,1
2011-08-23,5895,1
2011-08-24,5130,1
2011-08-25,3542,2
2011-08-26,4661,1
2011-08-27,1115,2
2011-08-28,4334,1
2011-08-29,4634,1
2011-08-30,5204,1
2011-08-31,5058,1
2011-09-01,5115,1
2011-09-02,4727,2
2011-09-03,4484,1
2011-09-04,4940,1
2011-09-05,3351,2
2011-09-06,2710,3
2011-09-07,1996,3
2011-09-08,1842,3
2011-09-09,3544,2
2011-09-10,5345,1
2011-09-11,5046,1
2011-09-12,4713,1
2011-09-13,4763,1
2011-09-14,4785,1
2011-09-15,3659,2
2011-09-16,4760,2
2011-09-17,4511,2
2011-09-18,4274,1
2011-09-19,4539,2
2011-09-20,3641,2
2011-09-21,4352,2
2011-09-22,4795,2
2011-09-23,2395,2
2011-09-24,5423,2
2011-09-25,5010,2
2011-09-26,4630,2
2011-09-27,4120,2
2011-09-28,3907,2
2011-09-29,4839,1
2011-09-30,5202,1
2011-10-01,2429,2
2011-10-02,2918,2
2011-10-03,3570,2
2011-10-04,4456,1
2011-10-05,4826,1
2011-10-06,4765,1
2011-10-07,4985,1
2011-10-08,5409,1
2011-10-09,5511,1
2011-10-10,5117,1
2011-10-11,4563,2
2011-10-12,2416,3
2011-10-13,2913,2
2011-10-14,3644,2
2011-10-15,5217,1
2011-10-16,5041,1
2011-10-17,4570,1
2011-10-18,4748,2
2011-10-19,2424,3
2011-10-20,4195,1
2011-10-21,4304,1
2011-10-22,4308,1
2011-10-23,4381,1
2011-10-24,4187,1
2011-10-25,4687,1
2011-10-26,3894,2
2011-10-27,2659,2
2011-10-28,3747,2
2011-10-29,627,3
2011-10-30,3331,1
2011-10-31,3669,1
2011-11-01,4068,1
2011-11-02,4186,1
2011-11-03,3974,1
2011-11-04,4046,2
2011-11-05,3926,1
2011-11-06,3649,1
2011-11-07,4035,1
2011-11-08,4205,1
2011-11-09,4109,1
2011-11-10,2933,2
2011-11-11,3368,1
2011-11-12,4067,1
2011-11-13,3717,1
2011-11-14,4486,1
2011-11-15,4195,2
2011-11-16,1817,3
2011-11-17,3053,2
2011-11-18,3392,1
2011-11-19,3663,1
2011-11-20,3520,2
2011-11-21,2765,3
2011-11-22,1607,3
2011-11-23,2566,2
2011-11-24,1495,1
2011-11-25,2792,1
2011-11-26,3068,1
2011-11-27,3071,1
2011-11-28,3867,1
2011-11-29,2914,2
2011-11-30,3613,1
2011-12-01,3727,1
2011-12-02,3940,1
2011-12-03,3614,1
2011-12-04,3485,1
2011-12-05,3811,2
2011-12-06,2594,3
2011-12-07,705,3
2011-12-08,3322,1
2011-12-09,3620,1
2011-12-10,3190,1
2011-12-11,2743,1
2011-12-12,3310,1
2011-12-13,3523,1
2011-12-14,3740,2
2011-12-15,3709,2
2011-12-16,3577,2
