index,data_0,tag_0
2014-01-01,608,Clear
2014-01-02,1702,Snow
2014-01-03,1371,Clear
2014-01-04,903,Clear
2014-01-05,775,Cloudy
2014-01-06,838,Rain
2014-01-07,939,Clear
2014-01-08,925,Clear
2014-01-09,874,Clear
2014-01-10,1477,Cloudy
2014-01-11,816,Rain
2014-01-12,467,Clear
2014-01-13,820,Clear
2014-01-14,790,Rain
2014-01-15,1046,Clear
2014-01-16,771,Cloudy
2014-01-17,876,Clear
2014-01-18,1085,Snow
2014-01-19,638,Clear
2014-01-20,711,Snow
2014-01-21,1324,Snow
2014-01-22,870,Clear
2014-01-23,1044,Clear
2014-01-24,1165,Clear
2014-01-25,1212,Snow
2014-01-26,816,Clear
2014-01-27,1088,Cloudy
2014-01-28,797,Clear
2014-01-29,1158,Clear
2014-01-30,967,Clear
2014-01-31,889,Clear
2014-02-01,838,Clear
2014-02-02,539,Cloudy
2014-02-03,1379,Snow
2014-02-04,839,Clear
2014-02-05,1058,Snow
2014-02-06,921,Clear
2014-02-07,1049,Clear
2014-02-08,655,Clear
2014-02-09,852,Snow
2014-02-10,1045,Clear
2014-02-11,897,Clear
2014-02-12,920,Clear
2014-02-13,1076,Snow
2014-02-14,1184,Clear
2014-02-15,787,Snow
2014-02-16,616,Clear
2014-02-17,702,Clear
2014-02-18,860,Snow
2014-02-19,829,Cloudy
2014-02-20,894,Clear
2014-02-21,868,Rain
2014-02-22,748,Clear
2014-02-23,496,Clear
2014-02-24,739,Clear
2014-02-25,687,Clear
2014-02-26,877,Clear
2014-02-27,1018,Clear
2014-02-28,1183,Clear
2014-03-01,654,Clear
2014-03-02,583,Cloudy
2014-03-03,733,Clear
2014-03-04,709,Clear
2014-03-05,740,Clear
2014-03-06,841,Clear
2014-03-07,791,Clear
2014-03-08,678,Clear
2014-03-09,493,Clear
2014-03-10,657,Clear
2014-03-11,727,Clear
2014-03-12,1126,Snow
2014-03-13,990,Clear
2014-03-14,942,Clear
2014-03-15,715,Clear
2014-03-16,511,Clear
2014-03-17,702,Clear
2014-03-18,709,Clear
2014-03-19,690,Cloudy
2014-03-20,773,Clear
2014-03-21,829,Clear
2014-03-22,588,Clear
2014-03-23,509,Clear
2014-03-24,736,Clear
2014-03-25,607,Clear
2014-03-26,686,Clear
2014-03-27,712,Clear
2014-03-28,781,Cloudy
2014-03-29,845,Rain
2014-03-30,716,Rain
2014-03-31,967,Clear
2014-04-01,685,Clear
2014-04-02,631,Clear
2014-04-03,721,Clear
2014-04-04,758,Rain
2014-04-05,683,Clear
2014-04-06,613,Clear
2014-04-07,644,Cloudy
2014-04-08,727,Clear
2014-04-09,728,Clear
2014-04-10,823,Clear
2014-04-11,750,Clear
2014-04-12,715,Clear
2014-04-13,587,Clear
2014-04-14,673,Clear
2014-04-15,687,Rain
2014-04-16,776,Clear
2014-04-17,656,Clear
2014-04-18,639,Clear
2014-04-19,590,Clear
2014-04-20,497,Clear
2014-04-21,646,Clear
2014-04-22,644,Clear
2014-04-23,616,Clear
2014-04-24,710,Clear
2014-04-25,702,Clear
2014-04-26,662,Cloudy
2014-04-27,567,Clear
2014-04-28,705,Clear
2014-04-29,658,Cloudy
2014-04-30,791,Rain
2014-05-01,787,Clear
2014-05-02,791,Clear
2014-05-03,691,Clear
2014-05-04,518,Clear
2014-05-05,770,Clear
2014-05-06,729,Clear
2014-05-07,731,Clear
2014-05-08,752,Clear
2014-05-09,839,Cloudy
2014-05-10,751,Clear
2014-05-11,689,Clear
2014-05-12,731,Clear
2014-05-13,758,Clear
2014-05-14,846,Clear
2014-05-15,793,Cloudy
2014-05-16,900,Rain
2014-05-17,792,Clear
2014-05-18,656,Clear
2014-05-19,805,Clear
2014-05-20,832,Clear
2014-05-21,718,Clear
2014-05-22,798,Cloudy
2014-05-23,901,Cloudy
2014-05-24,712,Clear
2014-05-25,719,Clear
2014-05-26,644,Clear
2014-05-27,835,Clear
2014-05-28,744,Cloudy
2014-05-29,831,Clear
2014-05-30,1013,Clear
2014-05-31,791,Clear
2014-06-01,766,Clear
2014-06-02,897,Clear
2014-06-03,886,Clear
2014-06-04,766,Clear
2014-06-05,871,Clear
2014-06-06,1026,Clear
2014-06-07,945,Clear
2014-06-08,751,Clear
2014-06-09,791,Cloudy
2014-06-10,774,Cloudy
2014-06-11,784,Cloudy
2014-06-12,784,Cloudy
2014-06-13,999,Rain
2014-06-14,741,Clear
2014-06-15,735,Clear
2014-06-16,902,Clear
2014-06-17,879,Clear
2014-06-18,902,Clear
2014-06-19,887,Clear
2014-06-20,1077,Clear
2014-06-21,792,Clear
2014-06-22,708,Clear
2014-06-23,894,Clear
2014-06-24,841,Clear
2014-06-25,899,Clear
2014-06-26,953,Clear
2014-06-27,974,Clear
2014-06-28,802,Clear
2014-06-29,688,Clear
2014-06-30,833,Clear
2014-07-01,884,Clear
2014-07-02,837,Clear
2014-07-03,952,Clear
2014-07-04,570,Clear
2014-07-05,742,Clear
2014-07-06,637,Clear
2014-07-07,842,Clear
2014-07-08,885,Clear
2014-07-09,749,Clear
2014-07-10,823,Clear
2014-07-11,915,Clear
2014-07-12,745,Clear
2014-07-13,612,Clear
2014-07-14,781,Cloudy
2014-07-15,797,Cloudy
2014-07-16,802,Clear
2014-07-17,784,Clear
2014-07-18,867,Clear
2014-07-19,630,Clear
2014-07-20,634,Clear
2014-07-21,793,Clear
2014-07-22,750,Clear
2014-07-23,765,Clear
2014-07-24,813,Clear
2014-07-25,892,Clear
2014-07-26,676,Clear
2014-07-27,606,Clear
2014-07-28,813,Clear
2014-07-29,696,Clear
2014-07-30,741,Clear
2014-07-31,825,Clear
2014-08-01,965,Clear
2014-08-02,721,Clear
2014-08-03,586,Clear
